School Year	School Code	Term	Start Date	End Date
2020-21	BES	FY	09/10/2020	06/23/2021
2020-21	BES	Q1	09/10/2020	11/04/2020
2020-21	BES	Q2	11/05/2020	01/22/2021
2020-21	BES	Q3	01/23/2021	04/01/2021
2020-21	BES	Q4	04/02/2021	06/23/2021
2020-21	BES	MP1	09/10/2020	11/04/2020
2020-21	BES	MP2	11/05/2020	01/22/2021
2020-21	BES	MP3	01/23/2021	04/01/2021
2020-21	BES	MP4	04/02/2021	06/23/2021
2020-21	BES	S1	09/10/2020	01/22/2021
2020-21	BES	S2	01/23/2021	06/23/2021
2020-21	BES	T1	09/10/2020	12/08/2020
2020-21	BES	T2	12/09/2020	03/16/2021
2020-21	BES	T3	03/17/2021	06/23/2021
2021-22	BES	FY	09/08/2021	06/21/2022
2021-22	BES	Q1	09/08/2021	11/12/2021
2021-22	BES	Q2	11/13/2021	01/21/2022
2021-22	BES	Q3	01/22/2022	03/31/2022
2021-22	BES	Q4	04/01/2022	06/21/2022
2021-22	BES	MP1	09/08/2021	12/03/2021
2021-22	BES	MP2	12/06/2021	03/11/2022
2021-22	BES	MP3	03/14/2022	06/21/2022
2021-22	BES	S1	09/08/2021	01/21/2022
2021-22	BES	S2	01/22/2022	06/21/2022
2021-22	BES	T1	09/08/2021	12/03/2021
2021-22	BES	T2	12/06/2021	03/11/2022
2021-22	BES	T3	03/14/2022	06/21/2022
2022-23	BES	FY	09/07/2022	06/20/2023
2022-23	BES	Q1	09/07/2022	11/09/2022
2022-23	BES	Q2	11/10/2022	01/26/2023
2022-23	BES	Q3	01/27/2023	04/06/2023
2022-23	BES	Q4	04/07/2023	06/20/2023
2022-23	BES	MP1	09/07/2022	11/30/2022
2022-23	BES	MP2	12/01/2022	03/10/2023
2022-23	BES	MP3	03/11/2023	06/20/2023
2022-23	BES	S1	09/07/2022	01/26/2023
2022-23	BES	S2	01/27/2023	06/20/2023
2022-23	BES	T1	09/07/2022	11/30/2022
2022-23	BES	T2	12/01/2022	03/10/2023
2022-23	BES	T3	03/11/2023	06/20/2023
2023-24	BES	FY	09/06/2023	06/19/2024
2023-24	BES	Q1	09/06/2023	11/08/2023
2023-24	BES	Q2	11/09/2023	01/25/2024
2023-24	BES	Q3	01/26/2024	04/12/2024
2023-24	BES	Q4	04/13/2024	06/19/2024
2023-24	BES	MP1	09/06/2023	11/30/2023
2023-24	BES	MP2	12/01/2023	03/07/2024
2023-24	BES	MP3	03/08/2024	06/19/2024
2023-24	BES	S1	09/06/2023	01/25/2024
2023-24	BES	S2	01/26/2024	06/19/2024
2023-24	BES	T1	09/06/2023	11/30/2023
2023-24	BES	T2	12/01/2023	03/07/2024
2023-24	BES	T3	03/08/2024	06/19/2024
