Grade,Subject,Latest Results,22-23 Form A,22-23 Form B,22-23 Form C,23-24 Form A,23-24 Form B,23-24 Form C
6,Language Arts,2023-08-28,2,0,0,0,0,0
6,Math,2023-08-28,2,0,0,0,0,0
9-12,Algebra I,2023-08-30,320,326,307,0,0,0
9-12,Algebra II,2023-06-14,509,483,545,0,0,0
9-12,English I,2023-08-30,4,0,0,0,0,0
9-12,English II,2021-06-14,0,0,0,0,0,0
9-12,English III,2021-06-15,0,0,0,0,0,0
9-12,Geometry,2023-08-30,610,666,656,0,0,0

School,Grade,Subject,Latest Results,22-23 Form A,22-23 Form B,22-23 Form C,23-24 Form A,23-24 Form B,23-24 Form C
Absegami High School,6,Language Arts,2023-08-28,2,0,0,0,0,0
Absegami High School,6,Math,2023-08-28,2,0,0,0,0,0
Absegami High School,9-12,Algebra I,2023-08-30,117,101,100,0,0,0
Absegami High School,9-12,Algebra II,2023-06-14,225,227,224,0,0,0
Absegami High School,9-12,English I,2023-08-30,4,0,0,0,0,0
Absegami High School,9-12,English II,2021-06-14,0,0,0,0,0,0
Absegami High School,9-12,English III,2021-06-14,0,0,0,0,0,0
Absegami High School,9-12,Geometry,2023-08-30,210,237,227,0,0,0
Cedar Creek High School,9-12,Algebra I,2023-06-15,91,125,98,0,0,0
Cedar Creek High School,9-12,Algebra II,2023-06-12,133,116,159,0,0,0
Cedar Creek High School,9-12,English I,2020-11-27,0,0,0,0,0,0
Cedar Creek High School,9-12,Geometry,2023-06-13,220,236,228,0,0,0
Oakcrest High School,9-12,Algebra I,2023-06-12,112,100,109,0,0,0
Oakcrest High School,9-12,Algebra II,2023-06-08,151,140,162,0,0,0
Oakcrest High School,9-12,English I,2021-06-16,0,0,0,0,0,0
Oakcrest High School,9-12,English III,2021-06-15,0,0,0,0,0,0
Oakcrest High School,9-12,Geometry,2023-06-13,180,193,201,0,0,0


Grade,Subject,19-20 A,19-20 B,19-20 C,20-21 A,20-21 B,20-21 C,21-22 A,21-22 B,21-22 C,22-23 A,22-23 B,22-23 C,23-24 A,23-24 B,23-24 C
6,Language Arts,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
6,Math,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9-12,Algebra I,424,327,0,819,428,92,523,520,504,320,326,307,0,0,0
9-12,Algebra II,0,0,0,124,0,217,531,526,508,509,483,545,0,0,0
9-12,English I,0,0,0,656,0,415,0,0,0,4,0,0,0,0,0
9-12,English II,0,0,0,283,0,239,0,0,0,0,0,0,0,0,0
9-12,English III,0,0,0,481,0,401,0,0,0,0,0,0,0,0,0
9-12,Geometry,0,0,0,7,0,195,602,558,538,610,666,656,0,0,0

